user_id,ETF,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,91
0,0,0,0,0,0,0,0.161616162,0,0,0,0,0,0,0,0,0,0.767676768,0,0,0,0,0,0.070707071,0,0,0,0,0,0,0,0,0,0,0
1,0.075354108,0,0.009065156,0,0.044759207,0.003399433,0,0,0,0.014730878,0,0.001699717,0,0.001699717,0.072521246,0.014164306,0.098583569,0.010764873,0.014164306,0.006798867,0.176770538,0.003399433,0.158640227,0.013597734,0.109348442,0.100283286,0.025495751,0.008498584,0.001699717,0.019263456,0.006798867,0.001699717,0,0.006798867
2,0.323692992,0.001668521,0.006674082,0.006674082,0.001668521,0.052280311,0,0,0,0,0.005005562,0.098998888,0,0.001668521,0.005005562,0,0.04727475,0.023915462,0.058954394,0,0.156840934,0,0.095661846,0.021690768,0.040600667,0.001668521,0.017241379,0,0,0.026140156,0.006674082,0,0,0
3,0.190644933,0,0.014883062,0.011339476,0.002126152,0.006378455,0,0,0,0.043940468,0,0.01275691,0,0.008504607,0.051736357,0.068036853,0.052445074,0.026222537,0.008504607,0.008504607,0.036853296,0,0.11977321,0.051736357,0.043231751,0.11977321,0.072997874,0.002126152,0,0.036853296,0.010630758,0,0,0
4,0.186599424,0.058357349,0,0.011527378,0,0,0.011527378,0,0,0.009365994,0,0,0,0.011527378,0,0,0.16426513,0.009365994,0.004322767,0.002161383,0.004322767,0,0.155619597,0.206772334,0.014409222,0.023775216,0.077809798,0.018731988,0,0.027377522,0,0,0.002161383,0
5,0.805389222,0,0,0.083832335,0,0,0,0,0,0.062874251,0,0,0,0,0,0,0,0,0,0,0,0,0.047904192,0,0,0,0,0,0,0,0,0,0,0
6,0.122765052,0.001337928,0.016541658,0.006122035,0.010338536,0.029028988,0.001581188,0.00012163,0.016582202,0.023190756,0.005270626,0.002675856,0,0.011027772,0.001581188,0.004378674,0.023028583,0.008595175,0.017960673,0.013865802,0.097749848,0.002067707,0.188647882,0.081775796,0.055909183,0.029150618,0.143725927,0.007257247,0.013379282,0.039448611,0.015811879,0.007013987,0.001824448,0.00024326
7,0.014862805,0.00628811,0.003429878,0.019435976,0,0.025724085,0,0,0.008003049,0.014862805,0.008574695,0.004001524,0,0.001714939,0.001714939,0,0.04058689,0,0.030297256,0.016577744,0.097179878,0.002286585,0.296875,0.09375,0.056021341,0.044016768,0.163490854,0.01086128,0.004573171,0.033155488,0.001143293,0,0.000571646,0
8,0.010306622,0,0,0.101004896,0,0.00231899,0,0,0.006183973,0.000772997,0.00231899,0,0,0,0.00231899,0,0.04689513,0.001545993,0.297346045,0.068539036,0.262818861,0,0.079618655,0.018809585,0.003864983,0.000772997,0.007214635,0,0.001545993,0.081679979,0,0,0,0.004122649
9,0.057613169,0,0.024691358,0.018518519,0,0.014403292,0,0,0,0.00617284,0,0.00617284,0,0,0.057613169,0,0.263374486,0.012345679,0.076131687,0.00617284,0.032921811,0,0.144032922,0.028806584,0.028806584,0.057613169,0.034979424,0.014403292,0.014403292,0,0.100823045,0,0,0
10,0.05254332,0.003353829,0.104527669,0.019005031,0.003353829,0,0.001676914,0,0,0.012297373,0,0.005030743,0,0.005030743,0.061486864,0.001676914,0.399664617,0.006707658,0.018446059,0.027948575,0.076020123,0.049748463,0.010061487,0.003353829,0.005030743,0.108999441,0.006707658,0,0.008943544,0,0.005030743,0,0,0.003353829
11,0.241758242,0,0,0.008241758,0,0,0,0,0,0,0,0.016483516,0,0,0,0.008241758,0,0,0,0.016483516,0,0,0.093406593,0.049450549,0.549450549,0,0.016483516,0,0,0,0,0,0,0
12,0,0,0,0,0,0.107142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678571429,0,0,0.107142857,0.107142857,0,0,0,0,0,0,0
13,0.054461877,0.001199161,0.004796642,0,0.002698111,0.018586989,0.00029979,0,0,0.010892375,0.001798741,0.009593285,0,0.024183072,0.014589787,0.030078945,0.042570201,0.007194964,0.02058559,0.004197062,0.031577895,0.00029979,0.196362546,0.114619766,0.031577895,0.037673628,0.215049465,0.012890976,0.014389927,0.078944739,0.014389927,0.002398321,0.001798741,0.00029979
14,0.047752809,0,0.084269663,0.036516854,0.176966292,0,0,0,0.039325843,0.04494382,0,0,0,0,0.053370787,0,0,0,0.353932584,0,0.028089888,0,0.053370787,0,0.008426966,0.019662921,0,0,0,0,0.053370787,0,0,0
15,0.189136126,0.00109075,0.009962187,0.00727167,0.002835951,0.008871437,0.027705061,0.00021815,0.00021815,0.00836242,0.00021815,0.001527051,0,0.00109075,0.009889471,0.012507272,0.09242292,0.00109075,0.006180919,0.001527051,0.003926702,0.0004363,0.212114602,0.100712624,0.071480512,0.02421466,0.14085224,0.012943572,0.00065445,0.029959279,0.00065445,0,0.004144852,0.015779523
16,0.03631394,0.001171417,0.003514252,0.001171417,0,0.024729923,0,0,0.000390472,0.005466615,0.110633867,0.012234804,0,0.000390472,0.041910712,0.001952362,0.13224001,0,0.00468567,0.0052063,0.007809449,0.00208252,0.13952883,0.090849928,0.220486789,0.036704412,0.112195757,0,0,0.00676819,0.000780945,0,0.000390472,0.000390472
17,0.030951648,0.004619649,0.00184786,0.000461965,0.000461965,0.002463813,0.004619649,0,0,0.002771789,0,0.000461965,0,0,0.057129658,0.063443178,0.002771789,0.021250385,0.002771789,0.00092393,0.012473052,0,0.454881429,0.020480443,0.141361257,0.118878965,0.024176163,0,0.003849707,0.014782877,0.010163228,0,0.001539883,0.000461965
