user_id,基本面,技術面,籌碼面,消息面,得分,prefer
4119,10,6,2,4,17,['消息面']
4120,2,2,0,2,0,"['籌碼面', '消息面']"
4121,7,4,1,3,9,['消息面']
4122,2,5,4,4,9,['消息面']
4123,8,1,1,4,11,['消息面']
4124,13,4,6,3,20,['消息面']
4125,2,2,0,2,0,"['籌碼面', '消息面']"
4126,2,2,0,2,0,"['籌碼面', '消息面']"
4127,4,2,0,3,3,['消息面']
4128,8,2,4,2,10,['消息面']
4129,8,4,1,4,11,"['籌碼面', '消息面']"
4130,3,5,0,2,5,['消息面']
4131,7,6,2,5,14,['消息面']
4132,2,2,0,2,0,"['籌碼面', '消息面']"
4133,2,2,0,2,0,"['籌碼面', '消息面']"
4134,3,5,0,3,5,['消息面']
4135,2,5,1,3,5,['消息面']
4136,3,5,0,3,5,['消息面']
4137,8,2,1,3,8,['消息面']
4138,4,5,0,3,6,['消息面']
4139,11,7,7,5,24,"['籌碼面', '消息面']"
4140,2,2,0,2,0,"['籌碼面', '消息面']"
4141,3,5,0,3,5,['消息面']
4142,2,2,0,2,0,"['籌碼面', '消息面']"
4143,2,2,0,2,0,"['籌碼面', '消息面']"
4144,10,4,0,3,11,['消息面']
4145,2,2,0,3,1,['消息面']
4146,2,2,0,2,0,"['籌碼面', '消息面']"
4147,4,5,1,3,7,['消息面']
4148,3,5,6,4,12,['消息面']
4149,3,5,0,3,5,['消息面']
4150,2,3,0,3,2,"['籌碼面', '消息面']"
4151,2,4,0,3,3,['消息面']
4152,2,2,0,2,0,"['籌碼面', '消息面']"
4153,3,2,1,2,2,"['籌碼面', '消息面']"
4154,2,2,0,2,0,"['籌碼面', '消息面']"
4155,8,5,1,3,11,['消息面']
4156,0,1,0,1,1,"['籌碼面', '消息面']"
4157,3,5,0,3,5,['消息面']
4158,2,2,0,2,0,"['籌碼面', '消息面']"
4159,3,4,1,4,6,"['籌碼面', '消息面']"
4160,4,5,1,4,8,['消息面']
4161,5,4,0,3,6,['消息面']
4162,7,7,2,3,13,['消息面']
4163,0,4,1,3,5,['消息面']
4164,2,2,0,2,0,"['籌碼面', '消息面']"
4165,18,5,5,7,29,['消息面']
4166,3,4,0,3,4,['消息面']
4167,12,4,6,6,22,"['籌碼面', '消息面']"
4168,11,3,0,3,11,"['籌碼面', '消息面']"
4169,3,5,7,4,13,['消息面']
4170,2,2,0,3,1,['消息面']
4171,13,3,3,4,17,['消息面']
4172,2,2,0,2,0,"['籌碼面', '消息面']"
4173,12,2,7,6,21,['消息面']
4174,0,4,1,3,5,['消息面']
4175,3,4,2,2,5,['消息面']
4176,2,4,1,4,5,"['籌碼面', '消息面']"
4177,4,5,0,4,7,['消息面']
4178,3,3,1,2,3,['消息面']
4179,2,3,0,3,2,"['籌碼面', '消息面']"
4180,2,2,0,2,0,"['籌碼面', '消息面']"
4181,2,2,0,2,0,"['籌碼面', '消息面']"
4182,2,2,2,3,3,['消息面']
4183,3,5,0,3,5,['消息面']
4184,10,3,6,3,16,['消息面']
4185,3,5,1,4,7,['消息面']
4186,3,5,0,3,5,['消息面']
4187,2,2,0,2,0,"['籌碼面', '消息面']"
4188,10,5,2,3,14,['消息面']
4189,2,2,0,2,0,"['籌碼面', '消息面']"
4190,8,4,6,4,16,['消息面']
4191,2,2,0,2,0,"['籌碼面', '消息面']"
4192,3,5,1,4,7,['消息面']
4193,3,5,1,5,8,"['籌碼面', '消息面']"
4194,3,5,2,4,8,['消息面']
4195,10,4,2,4,14,"['籌碼面', '消息面']"
4196,8,3,2,3,12,"['籌碼面', '消息面']"
4197,6,5,1,4,10,['消息面']
4198,2,2,2,2,2,"['技術面', '籌碼面', '消息面']"
4199,3,5,0,3,5,['消息面']
4200,5,5,1,4,9,['消息面']
4201,2,4,0,3,3,['消息面']
4202,5,2,0,2,3,"['籌碼面', '消息面']"
4203,2,2,0,2,0,"['籌碼面', '消息面']"
4204,6,1,2,4,9,['消息面']
4205,3,6,1,3,7,['消息面']
4206,3,5,0,2,5,['消息面']
4207,6,5,2,8,15,['消息面']
4208,3,3,0,2,2,['消息面']
4209,2,5,0,3,4,['消息面']
4210,3,5,0,3,5,['消息面']
4211,13,4,2,6,19,['消息面']
4212,3,5,0,3,5,['消息面']
4213,3,5,2,4,8,['消息面']
4214,2,2,0,2,0,"['籌碼面', '消息面']"
4215,3,5,0,3,5,['消息面']
4216,2,4,1,3,4,['消息面']
4217,3,2,0,2,1,"['籌碼面', '消息面']"
4218,10,3,6,3,16,['消息面']
4219,2,2,0,2,0,"['籌碼面', '消息面']"
4220,4,2,1,5,6,['消息面']
4221,2,2,0,2,0,"['籌碼面', '消息面']"
4222,2,3,0,3,2,"['籌碼面', '消息面']"
4223,6,5,1,4,10,['消息面']
4224,3,5,0,3,5,['消息面']
4225,10,6,1,6,17,"['籌碼面', '消息面']"
4226,2,2,0,2,0,"['籌碼面', '消息面']"
4227,3,2,0,2,1,"['籌碼面', '消息面']"
4228,3,5,1,3,6,['消息面']
4229,13,6,3,5,21,['消息面']
4230,2,2,0,2,0,"['籌碼面', '消息面']"
4231,8,6,8,3,19,['消息面']
4232,3,5,0,3,5,['消息面']
4233,2,2,0,2,0,"['籌碼面', '消息面']"
4234,3,5,1,4,7,['消息面']
4235,3,5,1,4,7,['消息面']
4236,3,4,0,3,4,['消息面']
4237,2,2,0,3,1,['消息面']
4238,2,4,1,4,5,"['籌碼面', '消息面']"
4239,16,3,4,6,23,['消息面']
4240,3,4,1,5,7,['消息面']
4241,2,2,0,2,0,"['籌碼面', '消息面']"
4242,2,2,0,2,0,"['籌碼面', '消息面']"
4243,2,2,0,2,0,"['籌碼面', '消息面']"
4244,3,2,1,5,5,['消息面']
4245,2,2,0,2,0,"['籌碼面', '消息面']"
4246,3,4,0,4,5,"['籌碼面', '消息面']"
4247,7,2,2,2,9,"['技術面', '籌碼面', '消息面']"
4248,3,3,1,3,4,"['籌碼面', '消息面']"
4249,5,3,6,3,11,['消息面']
4250,10,5,1,4,14,['消息面']
4251,3,5,1,4,7,['消息面']
4252,2,4,0,3,3,['消息面']
4253,2,3,0,3,2,"['籌碼面', '消息面']"
4254,10,5,1,4,14,['消息面']
4255,2,4,2,4,6,"['籌碼面', '消息面']"
4256,3,5,0,3,5,['消息面']
4257,0,4,1,3,5,['消息面']
4258,3,2,0,3,2,['消息面']
4259,2,2,0,3,1,['消息面']
4260,2,3,0,3,2,"['籌碼面', '消息面']"
4261,2,2,0,3,1,['消息面']
4262,10,5,1,4,14,['消息面']
4263,9,3,6,5,17,['消息面']
4264,2,2,0,2,0,"['籌碼面', '消息面']"
4265,5,2,0,2,3,"['籌碼面', '消息面']"
4266,2,2,0,2,0,"['籌碼面', '消息面']"
4267,2,2,0,2,0,"['籌碼面', '消息面']"
4268,3,5,0,2,5,['消息面']
4269,3,5,0,3,5,['消息面']
4270,10,2,0,2,8,"['籌碼面', '消息面']"
4271,1,1,0,1,2,"['籌碼面', '消息面']"
4272,3,2,0,3,2,['消息面']
4273,3,5,1,4,7,['消息面']
4274,2,2,7,3,8,['消息面']
4275,2,2,0,2,0,"['籌碼面', '消息面']"
4276,11,4,1,4,14,"['籌碼面', '消息面']"
4277,2,2,0,3,1,['消息面']
4278,2,2,0,2,0,"['籌碼面', '消息面']"
4279,2,2,0,2,0,"['籌碼面', '消息面']"
4280,3,5,1,4,7,['消息面']
4281,3,4,0,3,4,['消息面']
4282,2,2,0,3,1,['消息面']
4283,3,3,1,4,5,['消息面']
4284,2,5,1,4,6,['消息面']
4285,2,3,1,4,4,['消息面']
4286,12,5,0,3,14,['消息面']
4287,4,5,1,3,7,['消息面']
4288,17,4,5,5,25,"['籌碼面', '消息面']"
4289,2,4,1,4,5,"['籌碼面', '消息面']"
4290,3,2,1,2,2,"['籌碼面', '消息面']"
4291,3,2,0,2,2,"['籌碼面', '消息面']"
4292,0,1,0,1,1,"['籌碼面', '消息面']"
4293,3,2,0,3,2,['消息面']
4294,0,3,1,4,5,['消息面']
4295,3,5,0,3,5,['消息面']
4296,3,5,0,4,6,['消息面']
4297,2,4,1,3,4,['消息面']
4298,2,2,0,2,0,"['籌碼面', '消息面']"
4299,18,6,6,8,32,['消息面']
4300,2,2,0,2,0,"['籌碼面', '消息面']"
4301,3,5,0,3,5,['消息面']
4302,3,2,0,3,2,['消息面']
4303,2,2,0,3,1,['消息面']
4304,3,5,0,3,5,['消息面']
4305,3,2,0,3,2,['消息面']
4306,3,2,0,3,2,['消息面']
4307,3,2,0,3,2,['消息面']
4308,2,2,0,2,0,"['籌碼面', '消息面']"
4309,2,5,0,3,4,['消息面']
4310,3,4,0,3,5,['消息面']
4311,15,5,5,6,25,['消息面']
4312,3,5,3,4,9,['消息面']
4313,2,2,0,2,0,"['籌碼面', '消息面']"
4314,2,2,0,2,0,"['籌碼面', '消息面']"
4315,0,1,3,0,3,['消息面']
4316,3,2,0,3,2,['消息面']
4317,2,2,0,3,1,['消息面']
4318,1,1,0,1,2,"['籌碼面', '消息面']"
4319,3,2,0,3,2,['消息面']
4320,3,5,0,3,5,['消息面']
4321,2,2,0,2,0,"['籌碼面', '消息面']"
4322,0,1,0,1,1,"['籌碼面', '消息面']"
4323,3,2,0,3,2,['消息面']
4324,10,5,0,3,12,['消息面']
4325,2,2,0,2,0,"['籌碼面', '消息面']"
4326,1,1,0,1,2,"['籌碼面', '消息面']"
4327,2,5,0,3,4,['消息面']
4328,7,3,0,5,9,['消息面']
4329,0,1,0,1,1,"['籌碼面', '消息面']"
4330,3,5,0,3,5,['消息面']
4331,1,1,0,1,2,"['籌碼面', '消息面']"
4332,2,2,0,2,0,"['籌碼面', '消息面']"
4333,3,5,1,4,7,['消息面']
4334,3,5,1,4,7,['消息面']
4335,3,2,0,3,2,['消息面']
4336,2,2,0,6,4,['消息面']
4337,1,1,0,1,2,"['籌碼面', '消息面']"
4338,3,2,0,3,2,['消息面']
4339,3,2,0,3,2,['消息面']
4340,2,4,0,3,3,['消息面']
4341,6,5,1,4,10,['消息面']
4342,3,5,0,4,6,['消息面']
4343,3,5,0,3,5,['消息面']
4344,10,2,6,4,16,['消息面']
4345,8,1,3,3,12,"['籌碼面', '消息面']"
4346,2,2,0,3,1,['消息面']
4347,3,5,4,5,11,"['籌碼面', '消息面']"
4348,1,1,0,1,2,"['籌碼面', '消息面']"
4349,0,1,0,1,1,"['籌碼面', '消息面']"
4350,7,2,1,4,9,['消息面']
4351,3,2,1,3,3,['消息面']
4352,3,2,0,2,1,"['籌碼面', '消息面']"
4353,0,1,0,1,1,"['籌碼面', '消息面']"
4354,2,2,0,2,0,"['籌碼面', '消息面']"
4355,3,5,0,2,5,['消息面']
4356,3,2,0,3,2,['消息面']
4357,14,2,5,2,18,['消息面']
4358,3,5,0,3,5,['消息面']
4359,3,2,0,2,1,"['籌碼面', '消息面']"
4360,7,4,1,4,11,"['籌碼面', '消息面']"
4361,3,5,0,3,5,['消息面']
4362,3,2,0,3,2,['消息面']
4363,2,2,0,2,0,"['籌碼面', '消息面']"
4364,16,6,6,5,27,"['籌碼面', '消息面']"
4365,2,2,0,2,0,"['籌碼面', '消息面']"
4366,5,2,3,4,8,['消息面']
4367,1,1,0,1,2,"['籌碼面', '消息面']"
4368,3,5,0,3,5,['消息面']
4369,2,5,0,1,4,['消息面']
4370,2,4,1,3,4,['消息面']
4371,2,2,0,2,0,"['籌碼面', '消息面']"
4372,6,2,0,3,5,['消息面']
4373,7,2,1,3,8,['消息面']
4374,3,5,1,4,7,['消息面']
4375,0,1,0,1,1,"['籌碼面', '消息面']"
4376,4,2,0,2,2,"['籌碼面', '消息面']"
4377,10,5,1,4,14,['消息面']
4378,11,4,0,3,12,['消息面']
4379,2,4,0,3,3,['消息面']
4380,2,5,0,3,4,['消息面']
4381,6,5,5,3,13,"['籌碼面', '消息面']"
4382,8,1,0,1,9,"['籌碼面', '消息面']"
4383,4,2,0,3,3,['消息面']
4384,3,5,0,3,5,['消息面']
4385,2,2,0,2,0,"['籌碼面', '消息面']"
4386,2,2,0,2,0,"['籌碼面', '消息面']"
4387,3,2,0,3,2,['消息面']
4388,13,5,4,2,18,['消息面']
4389,3,5,0,3,5,['消息面']
4390,5,5,1,2,8,['消息面']
4391,2,2,0,3,1,['消息面']
4392,12,2,4,3,17,['消息面']
4393,3,3,0,3,3,"['籌碼面', '消息面']"
4394,3,2,0,3,2,['消息面']
4395,2,2,0,3,1,['消息面']
4396,10,5,1,4,14,['消息面']
4397,3,2,1,3,3,['消息面']
4398,9,4,3,5,15,['消息面']
4399,3,2,0,3,2,['消息面']
4400,2,5,0,3,4,['消息面']
4401,0,1,0,1,1,"['籌碼面', '消息面']"
