"證券名稱","證券代碼","殖利率","本益比","股價淨值比","CAPM_Beta.一年"
"達邁","3645",1.49,41.04,1.78,1.3671
"達麗","6177",3.59,7.76,1.56,0.7209
"鈺邦","6449",3.32,18.06,1.28,1.4478
"鈺齊-KY","9802",6.37,11.79,1.83,1.302
"鈺德","3050",3.24,12.33,0.59,1.0793
"鉅祥","2476",6.58,11.03,0.79,0.7133
"零壹","3029",6.1,11.63,1.69,0.9035
"鼎元","2426",2.51,19.92,0.97,1.3281
"鼎固-KY","2923",9.7,4.87,0.73,0.8591
"鼎炫-KY","8499",5.74,10.7,2.41,1.2354
"嘉里大榮","2608",3.97,13.55,1.94,0.5488
"嘉泥","1103",6.19,8.03,0.46,0.8253
"嘉基","6715",2.05,32.04,3.36,1.7105
"嘉裕","1417",6.4,4.68,0.47,0.7398
"嘉彰","4942",7.81,7,0.64,1.2087
"嘉澤","3533",3.28,15.98,2.81,1.2444
"嘉聯益","6153",2.22,35.53,0.98,1.5966
"彰源","2030",5.03,10.59,0.71,0.6058
"彰銀","2801",4.44,16.29,1.16,0.6092
"榮成","1909",2.42,28.18,0.7,1.1311
"榮星","1617",3.01,16.06,0.85,0.6186
"榮科","4989",3.66,74.55,1.2,1.4572
"榮運","2607",2.44,15.57,0.58,0.6064
"漢平","2488",8.46,7.77,1.05,0.8632
"漢唐","2404",7.07,12.46,4.09,1.1407
"漢翔","2634",4.42,13.52,1.72,0.4341
"碩天","3617",6.83,12.53,1.42,1.118
"福興","9924",6.82,8.7,1.32,0.6245
"福懋","1434",8.04,10.1,0.81,0.5849
"福懋油","1225",3.44,24.35,2.58,0.1669
"福懋科","8131",6.09,12.64,1.4,0.9063
"精元","2387",3.23,775,0.95,1.6567
"精成科","6191",2.17,6.9,0.49,1.334
"精技","2414",6.71,12.28,1.36,0.6174
"精誠","6214",6.27,10.93,1.48,0.6113
"維熹","3501",6.94,9.83,0.88,0.7456
"聚陽","1477",5.99,13.68,2.86,0.8224
"聚鼎","6224",6.6,13.17,2.24,0.924
"聚碩","6112",8.57,17.41,1.54,0.6933
"臺企銀","2834",6.9,10.8,0.76,0.9385
"臺鹽","1737",4.93,17.6,0.99,0.5328
"遠百","2903",3.57,17.64,1.02,0.5122
"遠見","3040",5.14,21.47,1.41,0.6288
"遠東新","1402",6.32,11.82,0.62,0.8205
"遠東銀","2845",7.33,9.35,0.72,0.8214
"遠雄","5522",8.42,10.68,0.8,0.8546
"遠雄港","5607",4.8,8.65,0.9,0.8426
"遠傳","4904",4.96,24.44,3.06,0.3778
"銘鈺","4545",1.3,150,1.21,0.7284
"鳳凰","5706",4.3,8.97,1.57,1.0388
"億光","2393",4.58,16.45,0.81,1.3338
"億豐","8464",4.78,13.6,4.46,1.3339
"劍麟","2228",5.83,9.91,1.65,1.2858
"增你強","3028",5.46,16.94,0.89,0.6936
"廣宇","2328",5.51,9.12,0.86,1.1619
"廣華-KY","1338",7.31,10.02,0.63,1.4455
"廣越","4438",6.44,11.97,1.73,0.7582
"廣隆","1537",7.09,11.45,2.84,0.5198
"廣達","2382",5.93,15.07,1.77,0.9061
"德律","3030",6.65,12.51,2.18,0.827
"德淵","4720",2.48,24.2,0.98,0.5183
"慧洋-KY","2637",6.36,7.4,0.56,0.7563
"慶豐富","9935",1.45,15.13,1.95,1.4793
"樂士","1529",3.92,28.98,1.15,1.0884
"歐格","3002",4.52,16.25,0.83,0.6563
"毅嘉","2402",3.86,17.5,0.68,1.3446
"潤弘","2597",7.67,11.67,2.05,0.7723
"潤泰全","2915",7.54,4.05,0.48,0.6397
"潤泰材","8463",1.49,55.59,2.1,1.1077
"潤泰新","9945",14.39,4.6,0.52,0.9408
"潤隆","1808",5.42,26.01,3.1,0.8103
"緯創","3231",7.69,10.88,1,1.2437
"緯穎","6669",3.44,18.94,5.78,1.0352
"蔚華科","3055",1.42,256.82,1.15,0.521
"鋐寶科技","6674",6.29,139.06,0.87,0.9947
"震旦行","2373",6.89,14.16,2.7,0.378
"駐龍","4572",6.13,13.17,1.47,1.0031
"儒鴻","1476",4,17.55,4.16,1.2712
"憶聲","3024",3.07,35.85,0.75,0.6573
"樺漢","6414",3.94,13.62,1.79,1.6599
"臻鼎-KY","4958",4.53,10.31,1.33,1.715
"興泰","1235",5.04,50.61,0.92,0.3273
"興能高","6558",2.23,24.01,2.79,1.6917
"興富發","2542",9.86,15.24,1.52,0.8563
"興勤","2428",5.43,8.87,1.55,1.2251
"興農","1712",7.01,11.52,1.11,0.5297
"融程電","3416",5.75,15.63,1.75,0.313
"鋼聯","6581",5.08,14.3,1.66,0.9155
"錩泰","1541",3.24,9.67,1.9,0.811
"錩新","2415",3.58,22.5,0.77,1.1987
"錸寶","8104",8.5,47.07,1.31,1.2763
"龍邦","2514",1.91,5.57,0.58,0.8769
"燦坤","2430",6.78,11.61,0.53,0.7334
"燦星網","4930",5.46,19.89,0.34,0.9196
"環泥","1104",5.93,9.68,0.61,0.635
"總太","3056",9.79,13.62,1.33,0.9953
"聯邦銀","2838",7.88,9.31,0.56,0.7743
"聯茂","6213",2.75,16.97,4.68,1.2686
"聯強","2347",6.83,9.3,1.27,0.5501
"聯傑","3094",4.97,32.6,1.23,0.9917
"聯發科","2454",2.58,23.94,1.76,1.187
"聯華","1229",7.85,16.17,1.66,0.7224
"聯華食","1231",5.18,13.52,1.95,0.6041
"聯詠","3034",5,13.51,3.24,1.2169
"聯鈞","3450",1.4,43.41,2.75,1.3283
"聯陽","3014",7.21,13.66,1.83,1.0321
"聯電","2303",4.72,19.16,0.9,0.6602
"聯嘉","6288",4.09,15.17,1.35,1.5761
"聯德控股-KY","4912",3.23,14.17,1.88,1.0509
"聯穎","3550",4.39,19.66,0.53,0.8601
"聲寶","1604",8.15,9.2,1.05,0.6408
"鮮活果汁-KY","1256",3.26,11.73,3.17,1.0179
"鴻名","3021",3.13,8.89,0.99,0.8733
"鴻海","2317",5.42,8.87,0.82,1.0823
"鴻準","2354",5.97,10.63,0.7,1.0812
"燿華","2367",1.81,7.89,1.21,1.5536
"藍天","2362",3.25,17.37,0.47,0.8738
"豐泰","9910",4.11,17.22,6.46,1.0627
"豐祥-KY","5288",6,9.65,1.97,0.9125
"豐達科","3004",5.06,7.93,1.45,1.4027
"豐興","2015",6.04,14.75,1.58,0.4629
"豐藝","6189",7.09,12.27,1.57,0.699
"鎰勝","6115",7.14,13.73,1.63,0.4715
"雙鍵","4764",2.06,23,1.9,0.8105
"瀚宇博","5469",3.07,6.82,0.76,1.353
"瀚荃","8103",4.51,10.25,0.72,0.9017
"羅麗芬-KY","6666",6.54,10.19,2.74,1.0089
"關貿","6183",4.15,21.51,2.88,0.4011
"麗清","3346",5.95,148.24,1.29,1.3633
"麗豐-KY","4137",7.01,10.29,3.37,1.0304
"寶一","8222",3.37,20.54,0.99,0.7727
"寶成","9904",5.64,6.63,0.67,0.9291
"寶隆","1906",4.37,14.31,0.44,0.9214
"寶齡富錦","1760",1.55,55.24,6.55,1.0017
"競國","6108",7.62,9.46,0.89,1.1295
"騰輝電子-KY","6672",5.88,12.72,2.55,1.2483
"櫻花","9911",5.88,11.11,2.1,0.3602
"櫻花建","2539",8.79,10.28,2.12,0.2281
"鑫永銓","2114",6.46,13.75,2.34,0.6246
"鑫禾","4999",6.83,13.17,0.83,0.9944
"鑽全","1527",9.95,9.71,1.44,0.905
"元大台灣50","0050",3.1,19,0.0019,1.0526
"元大中型100","0051",3.4,19,0.0051,1.0515
"富邦科技","0052",1.5,19,0.0107,1.1921
"元大電子","0053",3.5,19,-0.0021,1.1338
"元大台商50","0054",3.1,19,-0.0065,1.0575
"元大MSCI金融","0055",3.7,19,0.01,0.893
"元大高股息","0056",6.3,19,-4e-04,0.9278
"兆豐藍籌30","00690",4.6,19,0.0049,1.0494
"富邦公司治理","00692",3.3,19,0.0014,0.9945
"國泰股利精選30","00701",2,19,0.0032,0.7862
"元大台灣高息低波","00713",5,19,-0.0014,0.7936
"第一金工業30","00728",5.1,19,0.0017,1.1574
"富邦臺灣優質高息","00730",4.1,19,0.0013,0.9357
"FH富時高息低波","00731",4.7,19,0.0019,0.7671
"富邦臺灣中小","00733",4.8,19,5e-04,1.1925
"元大MSCI台灣","6203",2.7,19,0.0042,1.0614
"元大MSCI台灣","6203",2.7,19,0.0042,1.0527
"永豐臺灣加權","6204",2.5,19,-0.001,1.0058
"永豐臺灣加權","6204",2.5,19,-0.001,0.6334
"富邦台50","6208",3.4,19,0.005,1.0516
"富邦台50","6208",3.4,19,0.005,0.8636
