"證券名稱","證券代碼","殖利率","本益比","股價淨值比","CAPM_Beta.一年"
"王品","2727",7.21,13.19,1.38,1.0621
"王道銀行","2897",5.82,16.76,0.56,0.728
"世芯-KY","3661",1.48,33.71,4.42,1.4189
"世紀鋼","9958",0.38,22.27,3.7,0.6307
"可成","2474",5.47,15,1.14,1.2116
"可寧衛","8422",6.69,13.8,2.89,0.4281
"台中銀","2812",7.31,9.44,0.79,0.7802
"台化","1326",5.56,13.44,1.12,0.948
"台火","9902",4.74,26.34,0.67,0.7381
"台光電","2383",4.98,11.88,2.85,1.5642
"台汽電","8926",5.31,17.2,1.58,0.6873
"台泥","1101",7.14,9.81,1.23,0.89
"台肥","1722",4.93,21.16,0.86,0.4806
"台表科","6278",3.18,12.64,2.02,1.5692
"台南","1473",2.59,35.09,0.74,0.517
"台南-KY","5906",0,0,1.59,0.9232
"台玻","1802",3.59,0,0.61,1.0576
"台苯","1310",4.81,9.34,1.17,0.9261
"台虹","8039",5.56,13.04,1.29,1.3135
"台紙","1902",1.7,22.15,1.31,0.2365
"台航","2617",8.61,10.49,0.62,0.8077
"台郡","6269",4.74,11.06,1.59,1.4943
"台產","2832",5.21,9.9,0.77,0.4793
"台船","2208",0,0,1.44,1.0625
"台通","8011",0,0,0.6,1.3155
"台勝科","3532",2.57,24.82,2.59,0.8586
"台富","1454",3.21,27.86,0.65,0.3778
"台揚","2314",1.08,0,1.58,1.5803
"台硝","1724",4.42,20.18,0.73,0.5757
"台開","2841",0,17.15,0.26,0.79
"台塑","1301",5.5,13.65,1.46,0.951
"台塑化","6505",3.58,20.98,2.34,0.884
"台新金","2887",6.15,9.29,0.75,0.8514
"台達化","1309",6.54,7.71,0.71,0.9786
"台達電","2308",3.82,14.72,2.43,0.9975
"台榮","1220",5.77,14.65,0.8,0.3057
"台端","3432",3.03,14.56,0.44,0.8708
"台聚","1304",4.24,9.92,0.68,1.0646
"台數科","6464",3.68,20.07,2.15,0.1592
"台橡","2103",3.36,16.56,0.83,1.0246
"台積電","2330",3.23,22.07,4.7,1.242
"台耀","4746",1.08,384.17,1.05,0.3626
"台驊投控","2636",6.18,9.79,1.01,0.6778
"台灣大","3045",5.24,23.87,4.38,0.2972
"台灣高鐵","2633",3.87,22.18,2.49,0.6485
"四維航","5608",0,0,0.31,0.9361
"巨大","9921",3.06,16.72,2.58,1.186
"巨庭","1539",5.44,13.74,0.73,0.9409
"巨路","6192",5.35,9.18,1.37,0.8874
"弘裕","1474",3.33,22.5,0.62,0.409
"弘憶股","3312",8.11,11.3,1.24,1.1389
"必應","6625",5.13,432.78,2.36,0.9026
"本盟","1475",0,0,9.21,0.3163
"正文","4906",0,36.25,0.86,1.2443
"正峰新","1538",0,0,0.94,0.6491
"正崴","2392",4.2,8.72,0.77,1.5178
"正隆","1904",5.88,9.81,0.95,0.6719
"正新","2105",3.27,28.6,1.28,0.7721
"正道","1506",0,0,2.34,0.4193
"正達","3149",0,0,0.81,1.2582
"永大","1507",3.1,25.26,2.11,0.327
"永光","1711",2.25,20.23,0.93,0.8498
"永信","3705",4.88,16.03,1.92,0.1777
"永冠-KY","1589",0.83,38.96,0.83,1.0316
"永記","1726",4.81,15.8,1.28,0.3339
"永崴投控","3712",20.41,0,0.45,1.4571
"永新-KY","4557",7.85,12.84,1.68,0.5074
"永裕","1323",5.06,9.84,1.41,0.618
"永豐金","2890",6.22,10.14,0.85,0.889
"永豐餘","1907",5.88,8.62,0.5,0.508
"玉山金","2884",6.19,14.86,1.73,1.0389
"玉晶光","3406",2.09,18.99,3.53,1.9338
"生達","1720",4.05,17.54,1.76,0.2749
"申豐","6582",4.89,18.38,2.72,0.1772
"禾伸堂","3026",5.98,23.31,2.05,1.3504
"禾聯碩","5283",8.47,9.26,1.9,0.799
"立益","1443",0,428.5,0.99,0.1131
"立隆電","2472",3.91,11.46,1.47,1.3388
"立萬利","3054",0,0,2.16,0.4563
"立德","3058",1.76,0,0.44,0.7133
"立積","4968",1.18,53.25,7.42,1.6722
"仲琦","2419",4.16,28.31,1.25,1.166
"兆勁","2444",0,0,1.59,0.7223
"兆赫","2485",3.31,0,0.73,1.2671
"兆豐金","2886",6.03,13.24,1.18,0.6424
"光隆精密-KY","4581",7.93,12.25,1.53,0.6163
"光罩","2338",3.73,13.23,1.9,1.6685
"光群雷","2461",2.96,0,0.87,0.9698
"光聖","6442",3.89,0,1.24,0.5712
"光鼎","6226",4.83,6.28,0.75,0.8253
"光磊","2340",4.74,13.19,1.1,1.2913
"光鋐","4956",0,0,0.73,1.3564
"光麗-KY","6431",0,0,3.06,0.9183
"光寶科","2301",7.31,10.87,1.4,0.8
"全友","2305",0,497,0.47,1.1504
"全台","3038",6.28,11.04,1.5,1.0764
"全宇生技-KY","4148",4.02,44.38,0.78,1.2784
"全坤建","2509",3.43,9.44,0.94,0.274
"全科","3209",7.07,11.5,1.16,0.8005
"全國","9937",4.66,17.95,2.67,0.1733
"全國電","6281",6.03,14.93,2.69,0.4476
"全球傳動","4540",7.36,0,1.52,1.4866
"全新","2455",2.92,30.79,5.59,1.5884
"全漢","3015",6.59,32.5,0.5,0.8023
"再生-KY","1337",0,0,0.15,1.0033
"合庫金","5880",6.05,14.29,1.11,0.8705
"合勤控","3704",0,56.6,0.85,1.3148
"合機","1618",4.04,26.54,0.44,0.7941
"吉茂","1587",2.31,260,0.74,0.5532
"吉祥全","2491",0,1.33,0.58,1.121
"吉源-KY","8488",3.65,9.58,0.37,0.6485
"同欣電","6271",2.17,25.06,1.83,1.4429
"同泰","3321",0,0,1.24,1.2076
"同開","3018",0,0,1.97,1.3781
"名軒","1442",6.31,48.03,0.95,0.7148
"地球","1324",3.68,204,0.63,0.4781
"好樂迪","9943",7.42,10.84,2.1,0.9629
"如興","4414",0,0,0.6,0.7953
"宅配通","2642",4.03,17.63,1.65,0.6526
"宇隆","2233",7.59,10.39,1.21,1.2089
