證券代碼,證券名稱,本益比,殖利率,股價淨值比,CAPM_Beta.一年
3332,幸康,16.37,2.63,1.11,0.2459
3339,泰谷,0,0,0.64,0.5564
3354,律勝,28.94,3.68,0.83,1.4026
3360,尚立,23.75,3.95,1.06,1.4616
3362,先進光,0,0,1.81,1.5515
3363,上詮,22.57,3.14,1.3,1.5373
3372,典範,0,0,0.95,0.6815
3373,熱映,29.35,0.79,6.74,0.5321
3374,精材,34.02,0,6.58,2.0673
3379,彬台,0,0,0.75,0.7703
3388,崇越電,12.76,5.53,1.27,0.6144
3390,旭軟,0,3.41,0.85,0.9756
3402,漢科,10.65,5.4,1.46,0.873
3426,台興,16.04,5.64,1.46,0.6654
3434,哲固,13.73,2.63,1.01,0.5374
3438,類比科,0,0,1.58,1.462
3441,聯一光,39.48,7.94,1.35,1.2613
3444,利機,12.33,4.85,2,0.8267
3455,由田,12.42,6.1,1.52,1.2327
3465,進泰電子,0,0,21.28,0.4685
3466,致振,14.18,3.21,0.73,1.1583
3479,安勤,10.5,5.73,2.06,1.1853
3483,力致,22.03,2.19,1.92,1.8777
3484,崧騰,11.33,5.59,1,0.9388
3489,森寶,21,2.6,0.75,0.6555
3490,單井,0,2.73,0.87,1.2299
3491,昇達科,18.17,5.31,2.33,1.2396
3492,長盛,12.92,6.45,1.01,0.9931
3498,陽程,0,0,0.58,1.1675
3499,環天科,18.86,4.19,0.94,0.9466
3508,位速,0,0,1.48,1.4292
3511,矽瑪,11.84,0,1.77,1.6834
3512,皇龍,90,0,2.07,0.2869
3516,亞帝歐,277.5,0,0.46,0.5674
3520,振維,28.98,0,1.4,1.1209
3521,鴻翊,4.69,0,1.12,1.0132
3522,御頂,0,0,0.54,0.1574
3523,迎輝,0,0,1.83,0.2524
3526,凡甲,16.01,6.06,3.38,0.8687
3527,聚積,17.05,4.69,1.85,1.5066
3529,力旺,41.25,2.38,11.63,1.4709
3531,先益,10.17,7.73,0.79,0.4775
3537,堡達,12.2,6.68,1.97,0.891
3540,曜越,16.41,3.57,1,1.2043
3541,西柏,12.68,7.28,3.42,0.9547
3546,宇峻,20.6,4.42,3.47,1.0061
3548,兆利,8.68,3.73,1.03,1.3237
3551,世禾,10.63,4.28,0.81,1.3413
3552,同致,0,0,1.27,1.6301
3555,重鵬,0,0,3.55,0.3517
3556,禾瑞亞,15.45,6.43,3.21,0.8799
3558,神準,12.98,4.5,1.95,1.2519
3564,其陽,27.43,2.12,1.48,1.0372
3567,逸昌,13.61,6.94,1.57,0.7016
3570,大塚,11.24,5.84,2.44,1.0062
3577,泓格,32.39,2.35,1.59,0.3948
3580,友威科,10.36,7.33,1.33,1.5059
3581,博磊,14.24,4.68,1.05,0.8528
3587,閎康,18.7,3.92,1.72,1.4909
3594,磐儀,28.31,1.49,0.95,0.9339
3597,映興,15.86,5.11,1.28,0.4152
3609,東林,688.33,0,1.27,0.4846
3611,鼎翰,11.04,5.05,2.66,1.0592
3615,安可,0,0,0.41,0.7463
3623,富晶通,0,0,0.9,0.8758
3624,光頡,23.52,2.44,1.33,1.5474
3625,西勝,17.34,3.13,1.11,1.2875
3628,盈正,33.52,3.39,0.9,0.5544
3629,地心引力,43.88,0,4.52,0.1916
3630,新鉅科,33.77,0,2.24,1.5793
3631,晟楠,0,0,3.14,1.005
3632,研勤,0,0,1.57,0.9674
3642,駿熠電,0,0,1.76,0.569
3646,艾恩特,13.72,5.48,1.31,0.4129
3652,精聯,41.14,0.97,0.62,1.0082
3663,鑫科,15.67,5.03,1.22,0.8648
3664,安瑞-KY,0,0,0.93,0.9584
3666,光耀,0,0,1.01,0.879
3672,康聯訊,0,1.63,1,0.2046
3675,德微,19.21,2.83,2.05,0.5194
3680,家登,60.71,1.1,7.37,1.5332
3684,榮昌,7.65,5.92,1.68,0.9439
3685,元創精密,78.6,1.02,1.63,1.0545
3687,歐買尬,352.5,0.16,2.1,1.4508
3689,湧德,26.82,2.42,0.57,1.0625
3691,碩禾,31.27,2.08,1.28,1.4399
3693,營邦,53.91,0,0.86,1.1352
3707,漢磊,0,0,2.34,1.2521
3709,鑫聯大投控,10.65,4.91,1.37,0.5477
3710,連展投控,0,0,0.7,0.9539
4102,永日,24.59,0,2.05,0.2343
4105,東洋,20.9,5.53,3.14,0.7308
4107,邦特,16.27,3.67,3.04,0.928
4109,加捷生醫,0,0,1.44,1.0062
4111,濟生,21.73,3.62,1.47,0.3671
4113,聯上,0,0,0.78,1.1325
4114,健喬,115.24,4.13,1.6,0.5748
4116,明基醫,21.99,4.35,1.31,0.9271
4120,友華,15.73,4,1.22,0.7865
4121,優盛,63.57,0.9,1.46,0.5298
4123,晟德,0,3.94,1.58,1.1411
4126,太醫,11.05,6.42,1.97,0.4516
4127,天良,0,0,1.2,0.7386
4128,中天,0,0,1.33,0.6298
4129,聯合,32.62,2.34,1.1,0.8568
4130,健亞,89.06,2.33,2.1,0.7546
4131,晶宇,0,0,1.53,0.5165
4138,曜亞,12.47,7.17,1.09,0.5344
4139,馬光-KY,25.22,3.45,3.21,0.2876
4147,中裕,0,0,6.88,1.2038
4152,台微體,0,0,7.5,0.7953
4153,鈺緯,34.87,0,1.73,1.1783
4154,康樂-KY,0,0,3.76,0.5769
4157,太景*-KY,0,0,16.6,0.5998
4160,創源,40.13,2.26,2.12,0.5801
4161,聿新科,289.09,1.89,2.01,1.0871
4162,智擎,195.17,0.88,2.37,1.5252
4163,鐿鈦,13.7,5.65,2.71,0.8607
4167,展旺,69.86,0,3,0.8651
4168,醣聯,0,0,1.12,1.1739
4171,瑞基,102.75,0,15.01,0.5895
4173,久裕,15.92,4.62,0.76,0.7964
4174,浩鼎,0,0,3.74,1.184
4175,杏一,15.36,4.99,2.24,0.5563
4183,福永生技,23.4,3.69,1.51,0.7586
4188,安克,0,0,1.76,0.8668
4192,杏國,0,0,4.63,0.7094
4198,環瑞醫,0,0,1.09,0.2773
4205,中華食,22.54,3.45,4.36,0.4864
4207,環泰,27.18,6.6,0.89,0.3774
4303,信立,11.53,6.38,1.32,0.6029
4304,勝昱,0,0,1.07,0.106
4305,世坤,14.23,6.31,1.79,0.2794
4401,東隆興,15.2,4.51,1.25,1.2853
4402,福大,0.76,0,0.64,0.5098
4406,新昕纖,0,0,0.68,0.1708
4413,飛寶企業,8.84,0.64,1.24,0.129
4416,三圓,0,1.24,3.31,0.0935
4417,金洲,8.44,6.6,1.09,0.581
4419,元勝,0,0,2.01,0.1958
4420,光明,1.78,8.25,0.73,0.7255
4429,聚紡,0,0,1.61,0.1607
4430,耀億,3.53,6.1,0.66,0.8898
4432,銘旺實,0,0,0.53,1.2494
4433,興采,65.6,3.05,1.55,1.2183
4502,健信,846.67,0.79,3.64,0.8819
4503,金雨,24.33,0,1.28,1.0362
4506,崇友,14.66,4.8,2.34,0.4308
4510,高鋒,0,0,0.52,0.9345
4513,福裕,0,0,0.68,0.6385
4523,永彰,0,0,1.04,1.013
4527,方土霖,11.78,6.35,1.41,0.4102
4528,江興鍛,12.58,4.68,1.48,0.957
4529,淳紳,0,0,0.99,1.2119
4530,宏易,0,0,1.66,0.552
4533,協易機,90.83,2.29,0.71,0.6565
4534,慶騰,0,0,0.73,1.0965
4535,至興,33.29,4.12,0.84,0.6366
4538,大詠城,17.88,5.26,1.06,0.5349
4541,晟田,24.59,3.85,0.71,0.6254
4542,科嶠,12.98,5.74,1.04,0.4092
4543,萬在,50,4.38,0.6,0.8891
4549,桓達,13.95,5.61,2.19,0.6627
4550,長佳,9.48,6.4,1.23,0.7035
4554,橙的,77.4,0.52,1.07,1.0205
4556,旭然,34.5,2.03,1.81,0.4588
4561,健椿,57.73,0.98,1.61,0.6996
4563,百德,0,0,1.2,0.7779
4568,科際精密,11.72,5.96,1.57,0.5781
4580,捷流閥業,11.09,5.64,2.67,0.8126
4609,唐鋒,0,0,1.58,0.9436
4702,中美實,10.44,0,0.82,0.9627
