證券代碼,證券名稱,本益比,殖利率,股價淨值比,CAPM_Beta.一年
6486,互動,12.7,8.03,2.47,0.6823
6488,環球晶,13.16,6.56,4.53,1.2852
6492,生華科,0,0,8.16,0.5282
6494,九齊,12.13,6.22,1.53,0.8359
6496,科懋,22.07,3.13,1.18,0.8971
6497,亞獅康-KY,0,0,N/A,1.0547
6499,益安,0,0,1.87,1.1915
6506,雙邦,13.09,6.04,1.21,0.3837
6508,惠光,11.15,5.53,1.28,0.4494
6509,聚和,14.92,3.88,1.15,0.7526
6510,精測,31.09,1.49,3.33,1.4118
6512,啟發電,0,0,0.68,0.3554
6514,芮特-KY,11.82,5.2,2.55,1.4791
6516,勤崴國際,1060,1.26,3.02,0.6674
6523,達爾膚,16.25,5.71,2.33,1.1765
6527,明達醫,12.21,4.9,1.8,1.0474
6530,創威,24,5.56,1.34,0.6461
6532,瑞耘,22.51,3.04,3.35,1.4372
6535,順藥,0,0,3.62,0.9619
6538,倉和,24.28,2.11,4.88,1.5831
6542,隆中,0,0,3.51,0.8622
6547,高端疫苗,0,0,9.67,0.032
6548,長科*,18.14,3.97,2.25,1.0596
6556,勝品,18.43,3.83,1.3,0.0999
6560,欣普羅,17.25,6.78,1.58,0.6814
6561,是方,37.17,2.74,6.68,0.4506
6568,宏觀,13.5,5.02,2.14,1.1804
6569,醫揚,15.95,4.9,3.79,0.498
6570,維田,13.19,6.3,2.21,0.658
6574,霈方,14.9,2.04,2.11,0.1008
6576,逸達,0,0,5.82,0.8473
6577,勁豐,13.33,6.94,2.58,0.5906
6578,達邦蛋白,28.47,2.44,0.86,0.7694
6589,台康生技,0,0,4.74,1.0296
6590,普鴻,12.59,6.14,1.81,0.5131
6593,台灣銘板,0,2.17,0.99,0.3893
6594,展匯科,16.76,4.69,1.1,0.7756
6596,寬宏藝術,6.23,9,1.97,1.0447
6603,富強鑫,99.4,1.01,0.73,0.5925
6609,瀧澤科,13.98,3.85,0.88,0.9295
6612,奈米醫材,30.16,0.68,3.97,1.0366
6613,朋億,10.24,6.67,2.27,0.7318
6615,慧智,21.35,4.11,2.61,0.7824
6616,特昇-KY,6.76,11.39,1.65,0.8044
6624,萬年清,12.64,5.01,2.05,0.8276
6629,泰金-KY,10.48,6.75,2.2,0.3707
6640,均華,15.53,6.4,1.45,0.564
6642,富致,17.01,4.48,1.95,1.0427
6643,M31,26.9,2.72,5.8,1.4869
6649,台生材,0,0,1.86,1.1344
6654,天正國際,75,2.34,1.92,0.6489
6662,樂斯科,24.66,3.52,2.96,0.6431
6664,群翊,11.26,6.91,1.84,0.991
6667,信紘科,66.26,2.62,3.54,1.5241
6679,鈺太,35,1.49,5.99,1.2891
6680,鑫創電子,20.38,4.81,2.88,0.4255
6683,雍智科技,29.17,1.75,4.59,1.6742
6690,安碁資訊,35.1,2.3,4.13,1.4277
6697,東捷資訊,15.95,4.88,2.15,1.1862
6716,應廣,21.57,3.9,3.82,0
6803,崑鼎,17.2,5.16,2.72,0.5062
7402,邑錡,32.71,3.43,2.4,0.3077
8024,佑華,0,0,0.61,0.8502
8027,鈦昇,0,0,2.49,0.9003
8032,光菱,15.17,4.97,0.73,0.5061
8034,榮群,30.47,0.68,2.86,0.8732
8038,長園科,0,0,3.14,1.152
8040,九暘,0,1.17,1.68,1.1886
8042,金山電,1241.67,0.81,1.17,0.9566
8043,蜜望實,29.9,1.72,0.94,1.5827
8044,網家,74.1,0.68,3.97,1.0775
8047,星雲,0,0,0.85,0.3468
8048,德勝,10.63,7.42,1.94,0.8177
8049,晶采,9.44,8.51,1.52,0.7978
8050,廣積,18.02,5.24,1.33,0.8109
8054,安國,0,4.17,0.44,0.7876
8059,凱碩,60.22,0,1.32,1.4523
8064,東捷,11.19,6.87,0.88,1.1715
8066,來思達,9.52,9.16,2.67,0.6746
8067,志旭,0,0,0.98,0.2181
8068,全達,0,0,3.02,0.5499
8069,元太,11.75,6.26,1.25,1.1465
8071,能率網通,9.74,3.8,0.88,1.114
8074,鉅橡,27.02,5.97,1,0.6707
8076,伍豐,27.86,3.48,1.84,1.1956
8077,洛碁,18.18,0,0.64,-0.0677
8080,永利聯合,0,0,6.75,0.4486
8083,瑞穎,16.94,5.84,4.32,0.3911
8084,巨虹,0,0,5.54,0.7325
8085,福華,0,0,0.4,0.694
8086,宏捷科,28.39,1.86,3.52,1.6751
8087,華鎂鑫,162.25,0,0.68,0.5023
8088,品安,13.38,6.56,1.95,1.4916
8091,翔名,16,2.84,1,1.0879
8092,建暐,0,0,0.9,0.7801
8093,保銳,0,0,0.71,0.8002
8096,擎亞,20.34,3.39,0.7,1.1094
8097,常珵,0,0,1.17,0.8248
8099,大世科,11.81,6.18,1.15,0.5416
8107,大億金茂,7.4,5.8,0.86,0.9547
8109,博大,13.87,5.76,3.14,0.7616
8111,立碁,15.08,4.81,0.88,1.1327
8121,越峰,0,0,1.43,1.1288
8147,正淩,0,0,1.63,0.4493
8155,博智,37.44,2.16,5.32,1.3116
8171,天宇,2.67,1.95,1.02,0.3698
8176,智捷,47.05,1.52,0.95,1.1172
8182,加高,20.57,3.45,1.09,1.4581
8183,精星,13.11,2.54,1.1,1.3858
8234,新漢,14.22,3.06,1.25,0.9916
8240,華宏,11.52,5.37,0.64,1.2855
8255,朋程,26.84,5.19,1.77,0.9615
8277,商丞,0,0,0.73,1.352
8279,生展,15.05,2.76,2.03,1.0546
8289,泰藝,0,0,0.64,0.9866
8291,尚茂,0,0,1.25,0.088
8299,群聯,12.3,4.59,1.92,1.4914
8342,益張,15.84,7.25,2.18,0.377
8349,恒耀,20.56,4.5,1.39,0.9859
8354,冠好,14.12,3.97,0.8,0.3274
8358,金居,26.94,4.73,2.08,1.415
8383,千附,14.14,7.04,1.23,0.7375
8390,金益鼎,11.63,6.61,0.91,0.8119
8401,白紗科,26.09,4.17,0.82,0.3287
8403,盛弘,25.13,2.08,1.96,0.622
8406,金可-KY,12.44,2.17,1.39,1.1255
8409,商之器,0,0,1.77,0.936
8410,森田,16.29,3.9,0.98,0.711
8415,大國鋼,31.79,5.44,1.55,0.059
8416,實威,12.02,6.17,3,0.7559
8418,捷必勝-KY,0,0,0.87,0.111
8420,明揚,11.57,5.27,1.36,0.6017
8421,旭源,0,0,0.84,0.2923
8423,保綠-KY,12.19,5.9,1.1,0.2424
8424,惠普,10.38,7.69,1.77,0.5097
8426,紅木-KY,23.9,0,0.78,0.8499
8431,匯鑽科,0,0,3.15,1.4487
8432,東生華,31.79,2.6,2.53,0.4824
8433,弘帆,10.35,4.68,1.66,0.9978
8435,鉅邁,14.29,6.7,2.16,0.3991
8436,大江,17.68,3.4,4.28,1.2358
8437,大地-KY,12.55,4.02,3.29,0.7453
8440,綠電,25.92,3.15,0.92,0.7203
8444,綠河-KY,0,3.69,1.14,0.639
8446,華研,10.71,8.22,4.37,0.801
8450,霹靂,0,0,0.84,0.8615
8455,大拓-KY,8.05,0.78,0.91,0.7966
8472,夠麻吉,15.92,5.87,0.96,0.6058
8476,台境,0,0,3.07,0.5726
8477,創業家,33.86,2.64,2.97,0.8165
8489,三貝德,22.41,2.43,3.35,1.3829
8905,裕國,14.66,6.69,0.64,0.5915
8906,花王,45.65,1.41,1.26,-0.0176
8908,欣雄,20.87,4.3,3.39,0.3761
8916,光隆,10.04,7.29,1.21,0.5364
8917,欣泰,20.4,3.28,3.6,0.0917
8921,沈氏,26,4.62,0.69,0.0125
8923,時報,15.5,5.48,1.08,0.2341
8924,大田,7.19,9.09,1.54,1.1356
8927,北基,54.29,1.32,1.34,0.3265
8928,鉅明,10.55,7.21,1.65,0.8864
8929,富堡,140.2,1.43,1.9,0.5952
8930,青鋼,32.08,5.19,0.82,0.5863
8931,大汽電,20.8,3.83,1.88,0.4236
8932,宏大,0,0,1.05,0.3898
8933,愛地雅,0,0,1.16,1.4448
8934,衡平,35.65,0,1.1,0.5786
8935,邦泰,28.2,0,0.89,0.4704
8936,國統,22.22,1.28,1.03,1.0522
8937,合騏,0,1.34,1.34,0.4592
8938,明安,7.16,7.06,1.08,0.734
8941,關中,14.51,5.41,1.71,0.2797
8942,森鉅,8.88,7.5,1.31,0.8333
9949,琉園,0,0,1.18,0.3552
9950,萬國通,0,0,1.13,0.4437
9951,皇田,9.28,5.01,1.82,1.2544
9960,邁達康,33.05,2.95,1.96,-0.217
9962,有益,64.69,2.38,0.8,0.7559
