證券代碼,證券名稱,本益比,殖利率,股價淨值比,CAPM_Beta.一年,調整_殖利率,調整_本益比,調整_淨值比,beta,labels,category
50,元大台灣50,19.0,3.1,0.0019,1.0526,-0.16139337834554787,-0.1319326376957255,-0.8888745205028873,0.4767083542894186,1,1
51,元大中型100,19.0,3.4,0.0051,1.0515,-0.0619201266502082,-0.1319326376957255,-0.8872513113050973,0.47390999091538155,1,1
52,富邦科技,19.0,1.5,0.0107,1.1921,-0.6919173873873602,-0.1319326376957255,-0.8844106952089646,0.831591709451426,1,1
53,元大電子,19.0,3.5,-0.0021,1.1338,-0.028762376085094805,-0.1319326376957255,-0.890903532000125,0.6832784506274472,1,1
54,元大台商50,19.0,3.1,-0.0065,1.0575,-0.16139337834554787,-0.1319326376957255,-0.8931354446470863,0.4891737911374034,1,1
55,元大MSCI金融,19.0,3.7,0.01,0.893,0.03755312504513173,-0.1319326376957255,-0.8847657722209813,0.07069126838363797,0,0
56,元大高股息,19.0,6.3,-0.0004,0.9278,0.8996546397380765,-0.1319326376957255,-0.890041202113799,0.15922130967136444,0,0
690,兆豐藍籌30,19.0,4.6,0.0049,1.0494,0.335972880131151,-0.1319326376957255,-0.8873527618799592,0.4685676608376739,0,0
692,富邦公司治理,19.0,3.3,0.0014,0.9945,-0.09507787721532147,-0.1319326376957255,-0.8891281469400419,0.32890388880617405,1,1
701,國泰股利精選30,19.0,2.0,0.0032,0.7862,-0.5261286345617938,-0.1319326376957255,-0.8882150917662851,-0.20100437556835063,4,4
713,元大台灣高息低波,19.0,5.0,-0.0014,0.7936,0.4686038823916041,-0.1319326376957255,-0.8905484549881083,-0.18217902196119048,0,0
728,第一金工業30,19.0,5.1,0.0017,1.1574,0.5017616329567173,-0.1319326376957255,-0.8889759710777492,0.7433160648340665,0,0
730,富邦臺灣優質高息,19.0,4.1,0.0013,0.9357,0.17018412730558455,-0.1319326376957255,-0.889178872227473,0.1793186466303599,0,0
731,FH富時高息低波,19.0,4.7,0.0019,0.7671,0.36913063069626445,-0.1319326376957255,-0.8888745205028873,-0.24959413960845347,0,0
733,富邦臺灣中小,19.0,4.8,0.0005,1.1925,0.40228838126137756,-0.1319326376957255,-0.8895846745269205,0.832609296132894,1,1
1101,台泥,9.81,7.14,1.23,0.89,1.178179744485028,-0.22582596517197492,-0.26591726556351664,0.06305936827262705,0,0
1102,亞泥,8.03,7.19,0.96,0.7922,1.1947586197675848,-0.2440120503632398,-0.40287554162705386,-0.1857405753463288,0,0
1103,嘉泥,8.03,6.19,0.46,0.8253,0.863181114116452,-0.2440120503632398,-0.6565019787817524,-0.10153527745484164,0,0
1104,環泥,9.68,5.93,0.61,0.635,0.7769709626471574,-0.22715416240504485,-0.5804140476353428,-0.5856521411633008,0,0
1108,幸福,65.45,2.08,0.67,0.805,-0.49960243410970323,0.34264245058194454,-0.549978875176779,-0.1531778015393488,4,4
1109,信大,5.85,4.85,0.83,0.8019,0.41886725654393414,-0.2662848962716428,-0.4688184152872755,-0.16106409832072702,0,0
1110,東泥,258.33,0.65,1.04,0.2365,-0.9737582671908229,2.31327846838597,-0.36229531168230206,-1.5994228725759172,4,4
1201,味全,7.77,6.41,1.51,0.8696,0.9361281653597012,-0.24666844482937964,-0.12388646075688535,0.011162447517752892,0,0
1203,味王,14.19,3.67,1.3,0.1013,0.02760579987559779,-0.18107593531931201,-0.23040956436185875,-1.9433671709121425,4,4
1210,大成,13.63,5.53,1.71,0.5728,0.6443399603867045,-0.1867974003233054,-0.022435885895005992,-0.7438868701315938,0,0
1213,大飲,0.0,0.0,0.6,0.3662,-1.1892836458640592,-0.32605377175978856,-0.5854865763784368,-1.2694703911098788,4,4
1215,卜蜂,11.26,4.88,2.08,0.597,0.4288145817134681,-0.2110114575723491,0.16524767759947104,-0.6823228759027724,0,0
1216,統一,19.88,3.75,3.49,0.5529,0.05413200032768831,-0.12294176411802153,0.880474230375721,-0.794511807534633,4,4
1217,愛之味,71.0,0.0,0.62,0.3137,-1.1892836458640592,0.3993462555322366,-0.575341518892249,-1.4030286430525698,4,4
1218,泰山,19.21,3.9,1.7,0.6762,0.10386862617535828,-0.12978708831922794,-0.027508414638099925,-0.4808407129720842,0,0
1219,福壽,29.29,0.54,1.51,0.1471,-1.0102317928124476,-0.026800718247346082,-0.12388646075688535,-1.8268534958840428,4,4
1220,台榮,14.65,5.77,0.8,0.3057,0.7239185617429761,-0.1763761604946031,-0.4840360015165574,-1.4233803766819324,0,0
1225,福懋油,24.35,3.44,2.58,0.1669,-0.04865702642416294,-0.07727221310400247,0.4188741147541696,-1.7764829551513708,4,4
1227,佳格,17.53,4.02,3.59,0.5232,0.14365792685349404,-0.14695148333120825,0.9311995178066607,-0.8700676186336409,4,4
1229,聯華,16.17,7.85,1.66,0.7224,1.413599773497332,-0.16084646976947803,-0.04779852961047589,-0.363309451262516,0,0
1231,聯華食,13.52,5.18,1.95,0.6041,0.528287833408808,-0.18792125952051844,0.09930480393924933,-0.6642607123067134,0,0
1232,大統益,18.97,4.33,4.55,0.7139,0.2464469536053453,-0.13223914474951087,1.4181622771436821,-0.38493316824371376,0,0
1233,天仁,19.83,4.66,1.93,0.4927,0.3558675304702192,-0.12345260920766381,0.08915974645306135,-0.9476586030955851,0,0
1234,黑松,14.55,5.54,0.69,0.4288,0.6476557354432159,-0.17739785067388764,-0.5398338176905911,-1.1102180754601176,0,0
1235,興泰,50.61,5.04,0.92,0.3273,0.4818669826176494,0.19102362797611838,-0.42316565659942973,-1.3684306958826535,0,0
1236,宏亞,79.0,2.53,0.76,0.626,-0.35039255656669355,0.481081469875,-0.5043261164889333,-0.6085478414963336,4,4
1256,鮮活果汁-KY,11.73,3.26,3.17,1.0179,-0.10834097744136673,-0.20620951372971175,0.7181533105967138,0.3884327096720591,1,1
1301,台塑,13.65,5.5,1.46,0.951,0.6343926352171704,-0.18659306228744854,-0.14924910447235526,0.2182413371965155,0,0
1303,南亞,19.59,3.86,1.31,1.0688,0.09060552594931276,-0.1259046656379467,-0.22533703561876484,0.5179206148888775,1,1
1304,台聚,9.92,4.24,0.68,1.0646,0.21660497809674345,-0.22470210597476195,-0.5449063464336851,0.5072359547334623,1,1
1305,華夏,13.2,6.21,1.03,1.258,0.8698126642294747,-0.19119066809422897,-0.367367840425396,0.9992391152232993,0,0
1307,三芳,17.73,4.18,0.92,0.789,0.19671032775767533,-0.14490810297263917,-0.42316565659942973,-0.1938812687980737,0,0
1308,亞聚,10.61,7.01,0.85,0.7408,1.1350746687503805,-0.21765244373769863,-0.45867335780108753,-0.3165004639149825,0,0
1309,台達化,7.71,6.54,0.71,0.9786,0.9792332410943485,-0.24728145893695033,-0.5296887602044033,0.2884548182178161,0,0
